Instrument,Company Common Name,Date,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score Grade,ESG Combined Score Grade,Environmental Pillar Score Grade,Social Pillar Score Grade,Governance Pillar Score Grade,Price Close,Earnings Per Share - Mean,P/E (Daily Time Series Ratio),Debt - Long-Term - Total,Company Market Cap,TRBC Economic Sector Name
EDV.L,,2014-12-31 00:00:00+00:00,23.4762620189407,0.0,19.2713313052296,64.0169851380043,D+,D+,D-,D+,B,1476.0,1.35933,,0.302948,3.6442849428959,
STAN.L,Standard Chartered PLC,2023-12-31 00:00:00+00:00,90.8334814369205,79.3248850233169,91.1876428230375,94.8933197866396,A,B-,A-,A,A+,1067.0,1.56823,8.71913809274102,77.244,25.8252938455682,Financials
STAN.L,,2022-12-31 00:00:00+00:00,90.7211521987199,81.2165042366139,90.1826707189706,95.4742308866751,A,B,A-,A,A+,1056.5,1.56823,8.63333589032885,67.935,25.56896476931,
STAN.L,,2021-12-31 00:00:00+00:00,87.1345667519392,82.6564567410821,92.45888646601,81.3568056799139,A,B-,A-,A+,A-,1022.5,1.56823,8.33835379091188,67.867,24.7515019573,
STAN.L,,2020-12-31 00:00:00+00:00,88.4130593112471,82.3486080242472,93.317290942352,83.5555969633506,A,C+,A-,A+,A,1015.0,1.57254,8.26709407083639,64.787,24.5753540725,
STAN.L,,2019-12-31 00:00:00+00:00,85.8160183125773,83.5743193222569,92.2668178700774,77.0050283998357,A,B,A,A+,A-,1025.0,1.57177,8.35129419696561,62.911,24.82285198425,
STAN.L,,2018-12-31 00:00:00+00:00,85.8669135354216,86.0162006540268,91.9930436790541,76.6390759446315,A,B-,A,A+,A-,1014.0,1.55525,8.32937083230474,51.313,24.56217171642,
STAN.L,,2017-12-31 00:00:00+00:00,85.3732821527025,86.0651206560141,94.3713665451112,71.4549748052286,A,B-,A,A+,B+,1007.5,1.55525,8.31495666631117,42.873,24.410053124275,
STAN.L,,2016-12-31 00:00:00+00:00,72.7818604983086,78.5208329160742,94.2594588723085,48.530523817409,B+,C+,A-,A+,C+,987.0,1.54482,8.21892268816089,44.491,23.91864787473,
STAN.L,,2015-12-31 00:00:00+00:00,79.9917702162952,90.5164248066475,89.880694628124,63.7652281836294,A-,A-,A,A,B,1004.0,1.54482,8.38999559687098,52.12,24.33586158384,
STAN.L,,2014-12-31 00:00:00+00:00,73.6386071474362,75.0144714378978,91.9816183140598,53.1870651641352,B+,B+,A-,A+,B-,989.0,1.54482,8.2005951442209,53.845,23.97758937938,
HIK.L,Hikma Pharmaceuticals PLC,2023-12-31 00:00:00+00:00,72.0459176046507,42.8191980783444,67.6089663706334,96.4786216239099,B+,B-,C+,B+,A+,2072.0,2.1829,19.8930005979207,1.03,4.59788122054259,Healthcare
HIK.L,,2022-12-31 00:00:00+00:00,74.455389009409,45.7201246765467,76.3001797896455,92.7709788541547,B+,B+,C+,A-,A+,2028.0,2.1829,19.4705623612853,1.135,4.49985726684,
HIK.L,,2021-12-31 00:00:00+00:00,72.1487739590399,45.0831365604093,74.4692283328965,88.5291179037725,B+,B+,C+,B+,A,2002.0,2.1829,19.1814963051873,0.725,4.44216678906,
HIK.L,,2020-12-31 00:00:00+00:00,71.8999851957959,43.8092876854088,75.120792926142,87.1898483249964,B+,B,C+,A-,A,2008.0,2.1829,19.2218433781112,0.764,4.45694809876085,
HIK.L,,2019-12-31 00:00:00+00:00,68.1585533307056,38.6839600190386,76.1700765270219,77.8004787603224,B+,B+,C,A-,A-,2022.0,2.1829,19.514471860238,0.107,4.52330907654773,
HIK.L,,2018-12-31 00:00:00+00:00,61.4290402065368,37.5408623910336,76.5706497658281,56.3187429854096,B,B,C,A-,B-,2062.0,2.1829,19.9005148248323,0.562,4.57529866086,
HIK.L,,2017-12-31 00:00:00+00:00,64.0247660313025,34.8679098679099,63.0819691688514,86.8154180844536,B,B,C,B,A,2014.0,2.1829,19.528811328398,0.69,4.46879316342,
HIK.L,,2016-12-31 00:00:00+00:00,61.2372615594539,38.0857906138805,56.3328495446626,85.5443782083127,B,B,C,B-,A,2012.0,2.1829,19.6846241501862,0.742,4.46435543436,
HIK.L,,2015-12-31 00:00:00+00:00,60.2180938796899,36.8260542168675,62.7997830780521,73.5140652193185,B,B,C,B,B+,2020.0,2.1829,19.8326522784014,0.612,4.44736953928814,
HIK.L,,2014-12-31 00:00:00+00:00,56.5081371292729,32.3213253360312,51.1518021403982,82.249877511024,B-,B-,C-,B-,A-,1993.0,2.1829,19.4159116368164,0.168,4.42219700829,
